DATAFLOW,LAST UPDATE,freq,indic_env,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Bulgaria,2020,1034,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Bulgaria,2021,1055,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Bulgaria,2022,1052,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Bulgaria,2023,1096,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Cyprus,2005,209,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Cyprus,2006,214,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Cyprus,2007,224,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Cyprus,2008,262,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Cyprus,2009,253,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Cyprus,2010,260,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Cyprus,2011,245,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Cyprus,2012,253,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Cyprus,2013,240,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Cyprus,2014,245,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Cyprus,2015,265,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Cyprus,2016,294,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Cyprus,2017,334,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Cyprus,2018,368,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Cyprus,2019,405,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Cyprus,2020,338,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Cyprus,2021,387,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Cyprus,2022,381,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Cyprus,2023,394,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Czechia,2005,2333,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Czechia,2006,2456,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Czechia,2007,2550,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Czechia,2008,2729,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Czechia,2009,2762,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Czechia,2010,3042,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Czechia,2011,3180,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Czechia,2012,3140,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Czechia,2013,3104,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Czechia,2014,3116,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Czechia,2015,3291,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Czechia,2016,3385,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Czechia,2017,3587,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Czechia,2018,3816,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Czechia,2019,4039,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Czechia,2020,4022,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Czechia,2021,4766,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Czechia,2022,4277,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Czechia,2023,4395,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Germany,2005,36538,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Germany,2006,37772,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Germany,2007,39054,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Germany,2008,45989,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Germany,2009,48169,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Germany,2010,48830,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Germany,2011,53213,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Germany,2012,51395,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Germany,2013,52798,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Germany,2014,56570,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Germany,2015,57765,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Germany,2016,61848,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Germany,2017,68755,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Germany,2018,76426,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Germany,2019,80446,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Germany,2020,83507,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Germany,2021,98243,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Germany,2022,87093,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Germany,2023,90644,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Denmark,2005,2840,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Denmark,2006,2942,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Denmark,2007,3073,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Denmark,2008,2371,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Denmark,2009,3548,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Denmark,2010,3769,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Denmark,2011,4231,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Denmark,2012,4406,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Denmark,2013,4434,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Denmark,2014,4725,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Denmark,2015,4883,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Denmark,2016,5254,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Denmark,2017,4963,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Denmark,2018,5563,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Denmark,2019,5328,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Denmark,2020,5469,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Denmark,2021,5951,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Denmark,2022,5927,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Denmark,2023,6120,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Estonia,2005,182,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Estonia,2006,200,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Estonia,2007,222,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Estonia,2008,307,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Estonia,2009,248,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Estonia,2010,274,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Estonia,2011,324,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Estonia,2012,367,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Estonia,2013,384,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Estonia,2014,411,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Estonia,2015,415,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Estonia,2016,440,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Estonia,2017,524,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Estonia,2018,625,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Estonia,2019,663,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Estonia,2020,613,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Estonia,2021,673,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Estonia,2022,694,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Estonia,2023,726,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Greece,2005,1850,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Greece,2006,1781,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Greece,2007,1736,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Greece,2008,2352,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Greece,2009,1990,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Greece,2010,1688,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Greece,2011,1395,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Greece,2012,1308,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Greece,2013,937,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Greece,2014,1124,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Greece,2015,1069,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Greece,2016,961,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Greece,2017,1094,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Greece,2018,1137,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Greece,2019,1257,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Greece,2020,1131,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Greece,2021,1774,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Greece,2022,1044,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Greece,2023,1064,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Spain,2005,10906,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Spain,2006,11545,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Spain,2007,12218,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Spain,2008,14271,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Spain,2009,13118,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Spain,2010,14539,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Spain,2011,14779,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Spain,2012,14834,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Spain,2013,17140,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Spain,2014,17247,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Spain,2015,18029,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Spain,2016,19115,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Spain,2017,20206,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Spain,2018,21437,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Spain,2019,23211,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Spain,2020,21724,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Spain,2021,24909,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Spain,2022,22996,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Spain,2023,23760,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,European Union - 27 countries (from 2020),2005,164946,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,European Union - 27 countries (from 2020),2006,170451,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,European Union - 27 countries (from 2020),2007,176600,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,European Union - 27 countries (from 2020),2008,203032,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,European Union - 27 countries (from 2020),2009,200094,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,European Union - 27 countries (from 2020),2010,211072,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,European Union - 27 countries (from 2020),2011,222284,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,European Union - 27 countries (from 2020),2012,218759,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,European Union - 27 countries (from 2020),2013,223886,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,European Union - 27 countries (from 2020),2014,230783,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,European Union - 27 countries (from 2020),2015,237419,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,European Union - 27 countries (from 2020),2016,244771,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,European Union - 27 countries (from 2020),2017,262342,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,European Union - 27 countries (from 2020),2018,276419,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,European Union - 27 countries (from 2020),2019,287474,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,European Union - 27 countries (from 2020),2020,286603,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,European Union - 27 countries (from 2020),2021,337627,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,European Union - 27 countries (from 2020),2022,304219,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,European Union - 27 countries (from 2020),2023,316023,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Finland,2005,2014,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Finland,2006,2141,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Finland,2007,2212,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Finland,2008,2534,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Finland,2009,2434,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Finland,2010,2720,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Finland,2011,2804,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Finland,2012,2895,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Finland,2013,2924,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Finland,2014,3022,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Finland,2015,3126,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Finland,2016,3111,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Finland,2017,3282,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Finland,2018,3424,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Finland,2019,3428,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Finland,2020,3364,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Finland,2021,3937,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Finland,2022,3640,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,Finland,2023,3756,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,France,2005,29686,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,France,2006,30594,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,France,2007,31309,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,France,2008,36795,,
ESTAT:CEI_CIE012(1.0),24/03/25 23:00:00,Annual,Gross value added,Million euro,France,2009,33944,,
