country_name,year,pollut_environm_tax_mill,total_environm_tax_mill,pollut_environm_tax_mill_filled,total_environm_tax_mill_filled
France,2011,2582.0,39144.0,2582.0,39144.0
France,2012,2861.0,40444.0,2861.0,40444.0
France,2013,2938.0,42404.0,2938.0,42404.0
France,2014,2990.0,43225.0,2990.0,43225.0
France,2015,2868.0,47101.0,2868.0,47101.0
France,2016,2893.0,49803.0,2893.0,49803.0
France,2017,2917.0,52775.0,2917.0,52775.0
France,2018,2747.0,55740.0,2747.0,55740.0
France,2019,2748.0,56162.0,2748.0,56162.0
France,2020,2677.0,49304.0,2677.0,49304.0
France,2021,3090.0,54099.0,3090.0,54099.0
France,2022,3274.0,53363.0,3274.0,53363.0
France,2023,3605.0,49859.0,3605.0,49859.0
Germany,1995,0.0,42078.93,0.0,42078.93
Germany,1996,0.0,42324.71,0.0,42324.71
Germany,1997,0.0,41499.66,0.0,41499.66
Germany,1998,0.0,41796.81,0.0,41796.81
Germany,1999,0.0,46337.0,0.0,46337.0
Germany,2000,0.0,50963.0,0.0,50963.0
Germany,2001,0.0,56212.0,0.0,56212.0
Germany,2002,0.0,57197.0,0.0,57197.0
Germany,2003,0.0,61229.0,0.0,61229.0
Germany,2004,0.0,60849.0,0.0,60849.0
Germany,2005,0.0,60837.0,0.0,60837.0
Germany,2006,0.0,62533.0,0.0,62533.0
Germany,2007,0.0,62772.0,0.0,62772.0
Germany,2008,0.0,64140.0,0.0,64140.0
Germany,2009,0.0,66381.0,0.0,66381.0
Germany,2010,0.0,63845.0,0.0,63845.0
Germany,2011,0.0,72185.0,0.0,72185.0
Germany,2012,0.0,72621.0,0.0,72621.0
Germany,2013,0.0,78210.0,0.0,78210.0
Germany,2014,0.0,81776.0,0.0,81776.0
Germany,2015,0.0,80837.0,0.0,80837.0
Germany,2016,0.0,82463.0,0.0,82463.0
Germany,2017,0.0,85260.0,0.0,85260.0
Germany,2018,0.0,84559.0,0.0,84559.0
Germany,2019,0.0,85723.0,0.0,85723.0
Germany,2020,0.0,82858.0,0.0,82858.0
Germany,2021,0.0,81966.0,0.0,81966.0
Germany,2022,0.0,73094.0,0.0,73094.0
Germany,2023,0.0,71407.0,0.0,71407.0
Greece,1995,0.0,3291.79,0.0,3291.79
Greece,1996,0.0,3662.37,0.0,3662.37
Greece,1997,0.0,3740.65,0.0,3740.65
Greece,1998,0.0,3635.91,0.0,3635.91
Greece,1999,0.0,3588.88,0.0,3588.88
Greece,2000,0.0,3190.58,0.0,3190.58
Greece,2001,0.0,3360.0,0.0,3360.0
Greece,2002,0.0,3713.0,0.0,3713.0
Greece,2003,0.0,3856.0,0.0,3856.0
Greece,2004,0.0,4116.0,0.0,4116.0
Greece,2005,0.0,4208.0,0.0,4208.0
Greece,2006,0.0,4433.0,0.0,4433.0
Greece,2007,0.0,4837.0,0.0,4837.0
Greece,2008,0.0,4972.0,0.0,4972.0
Greece,2009,0.0,4944.0,0.0,4944.0
Greece,2010,0.0,5978.0,0.0,5978.0
Greece,2011,0.0,6017.0,0.0,6017.0
Greece,2012,0.0,6938.0,0.0,6938.0
Greece,2013,0.0,7240.0,0.0,7240.0
Greece,2014,0.0,7270.0,0.0,7270.0
Greece,2015,0.0,7401.0,0.0,7401.0
Greece,2016,0.0,7281.0,0.0,7281.0
Greece,2017,0.0,7759.0,0.0,7759.0
Greece,2018,18.0,7402.0,18.0,7402.0
Greece,2019,9.0,7696.0,9.0,7696.0
Greece,2020,4.0,6818.0,4.0,6818.0
Greece,2021,13.0,7701.0,13.0,7701.0
Greece,2022,73.0,11635.0,73.0,11635.0
Greece,2023,29.0,9257.0,29.0,9257.0
Hungary,1995,44.35,905.53,44.35,905.53
Hungary,1996,71.7,968.71,71.7,968.71
Hungary,1997,75.67,1101.02,75.67,1101.02
Hungary,1998,98.55,1401.97,98.55,1401.97
Hungary,1999,65.13,1500.62,65.13,1500.62
Hungary,2000,78.2,1507.97,78.2,1507.97
Hungary,2001,87.86,1625.29,87.86,1625.29
Hungary,2002,109.63,1904.57,109.63,1904.57
Hungary,2003,132.48,1951.32,132.48,1951.32
Hungary,2004,145.68,2345.77,145.68,2345.77
Hungary,2005,115.28,2477.32,115.28,2477.32
Hungary,2006,128.13,2614.19,128.13,2614.19
Hungary,2007,141.81,2828.63,141.81,2828.63
Hungary,2008,169.34,2907.43,169.34,2907.43
Hungary,2009,156.98,2476.05,156.98,2476.05
Hungary,2010,100.55,2631.91,100.55,2631.91
Hungary,2011,95.42,2600.05,95.42,2600.05
Hungary,2012,226.37,2533.22,226.37,2533.22
Hungary,2013,212.52,2489.64,212.52,2489.64
Hungary,2014,221.32,2557.84,221.32,2557.84
Hungary,2015,280.48,2787.77,280.48,2787.77
Hungary,2016,290.14,2945.57,290.14,2945.57
Hungary,2017,335.42,3100.77,335.42,3100.77
Hungary,2018,330.93,3101.07,330.93,3101.07
Hungary,2019,342.55,3307.92,342.55,3307.92
Hungary,2020,291.62,2982.81,291.62,2982.81
Hungary,2021,315.73,3095.85,315.73,3095.85
Hungary,2022,301.26,3118.66,301.26,3118.66
Hungary,2023,219.95,4249.89,219.95,4249.89
Iceland,1995,2.72,126.19,2.72,126.19
Iceland,1996,3.09,142.38,3.09,142.38
Iceland,1997,3.85,160.6,3.85,160.6
Iceland,1998,10.83,259.06,10.83,259.06
Iceland,1999,16.65,298.8,16.65,298.8
Iceland,2000,19.15,324.27,19.15,324.27
Iceland,2001,17.29,248.83,17.29,248.83
Iceland,2002,18.0,253.84,18.0,253.84
Iceland,2003,23.8,286.18,23.8,286.18
Iceland,2004,32.07,327.55,32.07,327.55
Iceland,2005,39.11,430.81,39.11,430.81
Iceland,2006,42.47,402.83,42.47,402.83
Iceland,2007,48.23,438.41,48.23,438.41
Iceland,2008,33.28,234.79,33.28,234.79
Iceland,2009,28.97,182.94,28.97,182.94
Iceland,2010,32.05,229.97,32.05,229.97
Iceland,2011,35.87,242.3,35.87,242.3
Iceland,2012,36.82,263.98,36.82,263.98
Iceland,2013,37.33,260.92,37.33,260.92
Iceland,2014,43.34,288.44,43.34,288.44
Iceland,2015,49.96,336.91,49.96,336.91
Iceland,2016,61.94,387.13,61.94,387.13
Iceland,2017,75.51,482.32,75.51,482.32
Iceland,2018,77.61,470.44,77.61,470.44
Iceland,2019,75.46,442.78,75.46,442.78
Iceland,2020,71.6,381.5,71.6,381.5
Iceland,2021,88.74,367.87,88.74,367.87
Iceland,2022,98.27,489.06,98.27,489.06
Iceland,2023,112.69,523.69,112.69,523.69
Ireland,1995,0.0,1565.12,0.0,1565.12
Ireland,1996,0.0,1811.88,0.0,1811.88
Ireland,1997,0.0,2150.62,0.0,2150.62
Ireland,1998,0.0,2360.89,0.0,2360.89
Ireland,1999,0.0,2705.73,0.0,2705.73
Ireland,2000,1.14,2976.16,1.14,2976.16
Ireland,2001,1.16,2779.55,1.16,2779.55
Ireland,2002,29.54,3091.19,29.54,3091.19
Ireland,2003,43.37,3300.24,43.37,3300.24
Ireland,2004,43.13,3835.4,43.13,3835.4
Ireland,2005,46.34,4219.42,46.34,4219.42
Ireland,2006,51.75,4470.1,51.75,4470.1
Ireland,2007,56.4,4822.63,56.4,4822.63
Ireland,2008,61.82,4314.14,61.82,4314.14
Ireland,2009,56.87,3847.45,56.87,3847.45
Ireland,2010,61.33,4103.67,61.33,4103.67
Ireland,2011,63.33,4208.47,63.33,4208.47
Ireland,2012,66.95,4173.44,66.95,4173.44
Ireland,2013,59.37,4444.87,59.37,4444.87
Ireland,2014,47.57,4683.91,47.57,4683.91
Ireland,2015,47.22,4977.25,47.22,4977.25
Ireland,2016,58.28,5117.49,58.28,5117.49
Ireland,2017,45.56,5232.37,45.56,5232.37
Ireland,2018,26.16,5119.3,26.16,5119.3
Ireland,2019,18.68,5044.97,18.68,5044.97
Ireland,2020,11.09,4505.41,11.09,4505.41
Ireland,2021,13.36,4982.29,13.36,4982.29
Ireland,2022,18.69,4428.12,18.69,4428.12
Ireland,2023,9.55,4909.09,9.55,4909.09
Italy,1995,103.62,31015.51,103.62,31015.51
Italy,1996,428.97,34631.21,428.97,34631.21
Italy,1997,491.77,36493.31,491.77,36493.31
Italy,1998,539.94,36619.52,539.94,36619.52
Italy,1999,482.0,39304.0,482.0,39304.0
Italy,2000,513.0,37702.0,513.0,37702.0
Italy,2001,473.0,39193.0,473.0,39193.0
Italy,2002,450.0,39393.0,450.0,39393.0
Italy,2003,435.0,41551.0,435.0,41551.0
Italy,2004,437.0,41072.0,437.0,41072.0
Italy,2005,454.0,43140.0,454.0,43140.0
Italy,2006,464.0,44682.0,464.0,44682.0
Italy,2007,492.0,44242.0,492.0,44242.0
Italy,2008,486.0,42749.0,486.0,42749.0
Italy,2009,479.0,47335.0,479.0,47335.0
Italy,2010,463.0,47260.0,463.0,47260.0
Italy,2011,469.0,52471.0,469.0,52471.0
Italy,2012,529.0,57791.0,529.0,57791.0
Italy,2013,489.0,58111.0,489.0,58111.0
Italy,2014,538.0,62226.0,538.0,62226.0
Italy,2015,510.0,59533.0,510.0,59533.0
Italy,2016,474.0,61842.0,474.0,61842.0
Italy,2017,521.0,59977.0,521.0,59977.0
Italy,2018,497.0,60159.0,497.0,60159.0
Italy,2019,493.0,62231.0,493.0,62231.0
Italy,2020,542.0,54341.0,542.0,54341.0
Italy,2021,566.0,56022.0,566.0,56022.0
Italy,2022,600.0,45400.0,600.0,45400.0
Italy,2023,607.0,54224.0,607.0,54224.0
Latvia,1995,2.19,40.74,2.19,40.74
Latvia,1996,2.47,70.89,2.47,70.89
Latvia,1997,13.87,113.82,13.87,113.82
Latvia,1998,16.28,178.63,16.28,178.63
Latvia,1999,17.07,160.34,17.07,160.34
Latvia,2000,18.54,193.6,18.54,193.6
Latvia,2001,18.81,191.62,18.81,191.62
Latvia,2002,19.12,217.62,19.12,217.62
Latvia,2003,15.82,238.57,15.82,238.57
Latvia,2004,13.04,287.45,13.04,287.45
Latvia,2005,15.38,346.45,15.38,346.45
Latvia,2006,16.34,385.25,16.34,385.25
Latvia,2007,15.47,464.18,15.47,464.18
Latvia,2008,13.96,506.87,13.96,506.87
Latvia,2009,11.31,498.74,11.31,498.74
Latvia,2010,13.29,530.64,13.29,530.64
Latvia,2011,15.63,606.15,15.63,606.15
Latvia,2012,18.41,660.87,18.41,660.87
Latvia,2013,20.33,723.62,20.33,723.62
Latvia,2014,21.13,797.66,21.13,797.66
Latvia,2015,23.07,863.72,23.07,863.72
Latvia,2016,19.0,918.24,19.0,918.24
Latvia,2017,26.9,947.67,26.9,947.67
Latvia,2018,31.4,991.46,31.4,991.46
Latvia,2019,31.77,947.59,31.77,947.59
Latvia,2020,35.53,967.23,35.53,967.23
Latvia,2021,45.07,966.74,45.07,966.74
Latvia,2022,55.78,868.01,55.78,868.01
Latvia,2023,63.22,949.88,63.22,949.88
Lithuania,1995,1.91,95.99,1.91,95.99
Lithuania,1996,3.43,123.89,3.43,123.89
Lithuania,1997,4.72,191.43,4.72,191.43
Lithuania,1998,4.5,255.08,4.5,255.08
Lithuania,1999,12.09,302.67,12.09,302.67
Lithuania,2000,5.95,305.77,5.95,305.77
Lithuania,2001,9.9,349.94,9.9,349.94
Lithuania,2002,11.54,425.93,11.54,425.93
Lithuania,2003,10.98,461.84,10.98,461.84
Lithuania,2004,16.31,491.98,16.31,491.98
Lithuania,2005,17.19,481.52,17.19,481.52
Lithuania,2006,16.83,433.42,16.83,433.42
