country_name,year,recycling_rate,flag,recycling_rate_filled
Germany,2010,62.5,,62.5
Germany,2011,63.0,,63.0
Germany,2012,65.2,,65.2
Germany,2013,63.8,,63.8
Germany,2014,65.6,,65.6
Germany,2015,66.7,,66.7
Germany,2016,67.1,,67.1
Germany,2017,67.2,,67.2
Germany,2018,67.1,,67.1
Germany,2019,66.7,e,66.7
Germany,2020,70.3,p,70.3
Germany,2021,71.4,,71.4
Germany,2022,69.6,,69.6
Germany,2023,68.7,,68.7
Denmark,2000,37.1,,37.1
Denmark,2001,36.1,,36.1
Denmark,2002,37.6,,37.6
Denmark,2003,40.9,,40.9
Denmark,2004,41.0,,41.0
Denmark,2005,41.0,,41.0
Denmark,2006,41.8,,41.8
Denmark,2007,44.2,,44.2
Denmark,2008,47.9,,47.9
Denmark,2009,48.8,e,48.8
Denmark,2010,,,45.599999999999994
Denmark,2011,42.4,b,42.4
Denmark,2012,42.5,,42.5
Denmark,2013,43.3,,43.3
Denmark,2014,45.4,,45.4
Denmark,2015,47.4,,47.4
Denmark,2016,48.3,,48.3
Denmark,2017,47.6,,47.6
Denmark,2018,49.9,,49.9
Denmark,2019,51.5,,51.5
Denmark,2020,45.0,,45.0
Denmark,2021,49.0,,49.0
Denmark,2022,50.3,,50.3
Denmark,2023,46.6,,46.6
Estonia,2000,2.2,b,2.2
Estonia,2001,5.1,b,5.1
Estonia,2002,2.7,,2.7
Estonia,2003,15.0,,15.0
Estonia,2004,24.8,,24.8
Estonia,2005,22.7,,22.7
Estonia,2006,17.4,,17.4
Estonia,2007,23.1,,23.1
Estonia,2008,20.2,b,20.2
Estonia,2009,21.0,,21.0
Estonia,2010,18.0,b,18.0
Estonia,2011,23.3,,23.3
Estonia,2012,19.1,,19.1
Estonia,2013,17.6,,17.6
Estonia,2014,31.1,b,31.1
Estonia,2015,28.3,,28.3
Estonia,2016,27.9,,27.9
Estonia,2017,28.2,,28.2
Estonia,2018,28.0,,28.0
Estonia,2019,30.8,,30.8
Estonia,2020,28.9,,28.9
Estonia,2021,30.3,,30.3
Estonia,2022,33.4,,33.4
Estonia,2023,37.9,,37.9
Greece,2000,8.8,,8.8
Greece,2001,8.8,,8.8
Greece,2002,8.8,,8.8
Greece,2003,8.1,,8.1
Greece,2004,10.1,,10.1
Greece,2005,11.8,,11.8
Greece,2006,12.8,,12.8
Greece,2007,20.0,,20.0
Greece,2008,17.7,,17.7
Greece,2009,18.9,,18.9
Greece,2010,17.1,,17.1
Greece,2011,17.8,,17.8
Greece,2012,17.0,,17.0
Greece,2013,15.8,,15.8
Greece,2014,15.4,,15.4
Greece,2015,15.8,,15.8
Greece,2016,17.2,,17.2
Greece,2017,18.9,,18.9
Greece,2018,20.1,,20.1
Greece,2019,21.0,,21.0
Greece,2020,18.1,b,18.1
Greece,2021,17.5,,17.5
Greece,2022,17.3,,17.3
Greece,2023,17.4,,17.4
Spain,2000,18.4,,18.4
Spain,2001,21.4,,21.4
Spain,2002,29.3,,29.3
Spain,2003,28.7,,28.7
Spain,2004,30.9,,30.9
Spain,2005,31.4,,31.4
Spain,2006,31.2,,31.2
Spain,2007,30.6,,30.6
Spain,2008,39.7,,39.7
Spain,2009,33.2,,33.2
Spain,2010,29.2,,29.2
Spain,2011,26.7,,26.7
Spain,2012,29.8,,29.8
Spain,2013,32.5,,32.5
Spain,2014,30.8,,30.8
Spain,2015,30.0,,30.0
Spain,2016,33.9,,33.9
Spain,2017,36.1,,36.1
Spain,2018,34.8,,34.8
Spain,2019,38.0,,38.0
Spain,2020,40.4,,40.4
Spain,2021,43.7,,43.7
Spain,2022,42.9,p,42.9
Spain,2023,41.4,e,41.4
European Union - 27 countries (from 2020),2000,27.3,i,27.3
European Union - 27 countries (from 2020),2001,28.7,i,28.7
European Union - 27 countries (from 2020),2002,30.4,i,30.4
European Union - 27 countries (from 2020),2003,31.1,i,31.1
European Union - 27 countries (from 2020),2004,31.8,i,31.8
European Union - 27 countries (from 2020),2005,32.5,i,32.5
European Union - 27 countries (from 2020),2006,33.2,i,33.2
European Union - 27 countries (from 2020),2007,35.2,,35.2
European Union - 27 countries (from 2020),2008,36.6,,36.6
European Union - 27 countries (from 2020),2009,37.3,,37.3
European Union - 27 countries (from 2020),2010,38.0,,38.0
European Union - 27 countries (from 2020),2011,38.9,,38.9
European Union - 27 countries (from 2020),2012,40.9,,40.9
European Union - 27 countries (from 2020),2013,41.5,,41.5
European Union - 27 countries (from 2020),2014,43.4,,43.4
European Union - 27 countries (from 2020),2015,44.9,,44.9
European Union - 27 countries (from 2020),2016,45.9,,45.9
European Union - 27 countries (from 2020),2017,46.3,,46.3
European Union - 27 countries (from 2020),2018,46.4,,46.4
European Union - 27 countries (from 2020),2019,47.2,i,47.2
European Union - 27 countries (from 2020),2020,48.5,,48.5
European Union - 27 countries (from 2020),2021,49.7,i,49.7
European Union - 27 countries (from 2020),2022,49.1,i,49.1
European Union - 27 countries (from 2020),2023,47.7,i,47.7
Finland,2000,33.6,,33.6
Finland,2001,33.6,,33.6
Finland,2002,33.6,,33.6
Finland,2003,33.6,,33.6
Finland,2004,33.6,,33.6
Finland,2005,33.6,,33.6
Finland,2006,33.6,,33.6
Finland,2007,35.6,,35.6
Finland,2008,34.3,,34.3
Finland,2009,35.9,,35.9
Finland,2010,32.8,,32.8
Finland,2011,34.8,,34.8
Finland,2012,33.3,,33.3
Finland,2013,32.5,,32.5
Finland,2014,32.5,,32.5
Finland,2015,40.6,b,40.6
Finland,2016,42.1,,42.1
Finland,2017,40.5,,40.5
Finland,2018,42.3,,42.3
Finland,2019,43.5,,43.5
Finland,2020,42.1,,42.1
Finland,2021,39.0,,39.0
Finland,2022,43.7,,43.7
Finland,2023,44.8,,44.8
France,2000,24.5,,24.5
France,2001,26.1,,26.1
France,2002,27.3,,27.3
France,2003,28.0,,28.0
France,2004,29.0,,29.0
France,2005,29.0,,29.0
France,2006,30.7,e,30.7
France,2007,32.3,,32.3
France,2008,33.8,e,33.8
France,2009,35.3,,35.3
France,2010,36.0,e,36.0
France,2011,36.8,,36.8
France,2012,37.7,e,37.7
France,2013,38.7,,38.7
France,2014,39.7,e,39.7
France,2015,40.7,,40.7
France,2016,39.7,e,39.7
France,2017,40.2,e,40.2
France,2018,40.7,e,40.7
France,2019,41.0,e,41.0
France,2020,39.3,e,39.3
France,2021,40.9,e,40.9
France,2022,40.1,ep,40.1
France,2023,40.3,e,40.3
Croatia,2000,,,3.2
Croatia,2001,,,3.2
Croatia,2002,,,3.2
Croatia,2003,,,3.2
Croatia,2004,,,3.2
Croatia,2005,,,3.2
Croatia,2006,,,3.2
Croatia,2007,3.2,,3.2
Croatia,2008,2.7,,2.7
Croatia,2009,2.4,,2.4
Croatia,2010,4.1,,4.1
Croatia,2011,8.3,,8.3
Croatia,2012,14.7,,14.7
Croatia,2013,14.9,,14.9
Croatia,2014,16.4,,16.4
Croatia,2015,18.0,,18.0
Croatia,2016,21.0,,21.0
Croatia,2017,23.6,,23.6
Croatia,2018,25.3,,25.3
Croatia,2019,30.2,,30.2
Croatia,2020,29.5,,29.5
Croatia,2021,31.4,,31.4
Croatia,2022,34.2,,34.2
Croatia,2023,36.0,,36.0
Hungary,2000,1.6,b,1.6
Hungary,2001,1.6,,1.6
Hungary,2002,2.5,,2.5
Hungary,2003,3.5,,3.5
Hungary,2004,11.8,b,11.8
Hungary,2005,9.6,,9.6
Hungary,2006,10.4,,10.4
Hungary,2007,12.1,,12.1
Hungary,2008,15.2,,15.2
Hungary,2009,15.4,,15.4
Hungary,2010,19.6,,19.6
Hungary,2011,22.0,,22.0
Hungary,2012,25.5,,25.5
Hungary,2013,26.4,,26.4
Hungary,2014,30.5,,30.5
Hungary,2015,32.2,,32.2
Hungary,2016,34.7,,34.7
Hungary,2017,35.0,,35.0
Hungary,2018,37.4,,37.4
Hungary,2019,35.9,,35.9
Hungary,2020,32.0,,32.0
Hungary,2021,34.9,,34.9
Hungary,2022,32.8,,32.8
Hungary,2023,33.4,,33.4
Ireland,2000,11.9,,11.9
Ireland,2001,11.3,,11.3
Ireland,2002,18.3,,18.3
Ireland,2003,23.6,b,23.6
Ireland,2004,29.5,,29.5
Ireland,2005,31.1,,31.1
Ireland,2006,33.1,,33.1
Ireland,2007,34.1,,34.1
Ireland,2008,33.6,,33.6
Ireland,2009,33.5,,33.5
Ireland,2010,35.7,,35.7
Ireland,2011,36.1,,36.1
Ireland,2012,36.6,,36.6
Ireland,2013,,,38.2
Ireland,2014,39.8,b,39.8
Ireland,2015,,,40.25
Ireland,2016,40.7,,40.7
Ireland,2017,40.4,,40.4
Ireland,2018,37.7,,37.7
Ireland,2019,37.4,b,37.4
Ireland,2020,40.8,b,40.8
Ireland,2021,,,40.8
Ireland,2022,,,40.8
Ireland,2023,,,40.8
Iceland,2000,15.4,,15.4
Iceland,2001,15.8,,15.8
Iceland,2002,16.1,,16.1
Iceland,2003,16.4,,16.4
Iceland,2004,,,16.959999999999997
Iceland,2005,,,17.52
Iceland,2006,,,18.08
Iceland,2007,,,18.64
Iceland,2008,19.2,,19.2
Iceland,2009,20.5,,20.5
Iceland,2010,20.8,,20.8
Iceland,2011,25.3,,25.3
Iceland,2012,28.0,,28.0
Iceland,2013,29.9,,29.9
Iceland,2014,29.7,,29.7
Iceland,2015,28.2,,28.2
Iceland,2016,33.2,,33.2
Iceland,2017,25.8,,25.8
Iceland,2018,27.5,,27.5
Iceland,2019,,,26.85
Iceland,2020,26.2,,26.2
Iceland,2021,26.4,,26.4
Iceland,2022,23.3,,23.3
Iceland,2023,31.7,,31.7
Italy,2000,14.2,,14.2
Italy,2001,17.8,,17.8
Italy,2002,14.8,,14.8
Italy,2003,16.3,,16.3
Italy,2004,17.6,,17.6
Italy,2005,18.5,,18.5
Italy,2006,19.2,,19.2
Italy,2007,25.0,b,25.0
Italy,2008,23.8,,23.8
Italy,2009,29.7,,29.7
Italy,2010,31.0,,31.0
Italy,2011,35.5,,35.5
Italy,2012,38.4,,38.4
Italy,2013,39.4,,39.4
Italy,2014,41.6,,41.6
Italy,2015,44.3,b,44.3
Italy,2016,45.9,,45.9
Italy,2017,47.8,,47.8
Italy,2018,49.8,,49.8
Italy,2019,51.4,,51.4
Italy,2020,51.4,,51.4
Italy,2021,51.9,,51.9
Italy,2022,53.3,,53.3
Italy,2023,50.8,,50.8
Lithuania,2000,0.0,,0.0
Lithuania,2001,0.0,,0.0
Lithuania,2002,0.0,,0.0
Lithuania,2003,0.0,,0.0
Lithuania,2004,1.9,i,1.9
Lithuania,2005,1.9,i,1.9
Lithuania,2006,1.9,i,1.9
Lithuania,2007,7.5,,7.5
Lithuania,2008,8.4,b,8.4
Lithuania,2009,8.5,,8.5
Lithuania,2010,4.9,,4.9
Lithuania,2011,20.0,,20.0
Lithuania,2012,23.5,,23.5
Lithuania,2013,27.8,,27.8
Lithuania,2014,30.5,,30.5
Lithuania,2015,33.2,,33.2
Lithuania,2016,48.0,b,48.0
Lithuania,2017,48.1,,48.1
Lithuania,2018,52.6,,52.6
Lithuania,2019,49.7,,49.7
Lithuania,2020,45.3,,45.3
Lithuania,2021,44.3,,44.3
Lithuania,2022,48.4,,48.4
Lithuania,2023,49.3,,49.3
Luxembourg,2000,35.8,,35.8
Luxembourg,2001,37.5,,37.5
Luxembourg,2002,38.5,,38.5
Luxembourg,2003,42.2,,42.2
Luxembourg,2004,41.5,,41.5
Luxembourg,2005,43.5,,43.5
Luxembourg,2006,43.7,,43.7
Luxembourg,2007,45.0,,45.0
Luxembourg,2008,45.7,,45.7
Luxembourg,2009,46.4,,46.4
Luxembourg,2010,46.5,,46.5
Luxembourg,2011,46.4,,46.4
Luxembourg,2012,47.4,,47.4
Luxembourg,2013,46.3,,46.3
Luxembourg,2014,47.7,,47.7
Luxembourg,2015,47.4,,47.4
Luxembourg,2016,49.2,b,49.2
Luxembourg,2017,48.9,,48.9
Luxembourg,2018,49.0,,49.0
Luxembourg,2019,48.9,e,48.9
Luxembourg,2020,52.8,,52.8
Luxembourg,2021,55.3,,55.3
Luxembourg,2022,55.6,,55.6
Luxembourg,2023,56.5,,56.5
Latvia,2000,0.0,e,0.0
Latvia,2001,0.4,e,0.4
Latvia,2002,0.4,b,0.4
Latvia,2003,2.3,,2.3
Latvia,2004,4.4,,4.4
Latvia,2005,3.9,,3.9
Latvia,2006,4.5,,4.5
Latvia,2007,5.0,,5.0
Latvia,2008,6.4,,6.4
Latvia,2009,7.7,,7.7
Latvia,2010,9.4,,9.4
Latvia,2011,9.7,,9.7
Latvia,2012,14.6,,14.6
Latvia,2013,25.9,,25.9
Latvia,2014,27.0,,27.0
Latvia,2015,28.7,,28.7
Latvia,2016,25.2,,25.2
Latvia,2017,24.8,,24.8
Latvia,2018,25.2,,25.2
Latvia,2019,41.0,,41.0
Latvia,2020,39.7,,39.7
Latvia,2021,44.1,,44.1
Latvia,2022,50.8,,50.8
Latvia,2023,,,50.8
Montenegro,2000,,,3.7
Montenegro,2001,,,3.7
Montenegro,2002,,,3.7
Montenegro,2003,,,3.7
Montenegro,2004,,,3.7
Montenegro,2005,,,3.7
Montenegro,2006,,,3.7
Montenegro,2007,,,3.7
Montenegro,2008,,,3.7
Montenegro,2009,,,3.7
Montenegro,2010,,,3.7
Montenegro,2011,,,3.7
Montenegro,2012,,,3.7
Montenegro,2013,,,3.7
Montenegro,2014,,,3.7
Montenegro,2015,,,3.7
Montenegro,2016,,,3.7
Montenegro,2017,,,3.7
Montenegro,2018,3.7,e,3.7
Montenegro,2019,5.3,e,5.3
Montenegro,2020,4.6,e,4.6
Montenegro,2021,4.7,e,4.7
Montenegro,2022,4.2,e,4.2
Montenegro,2023,3.7,e,3.7
North Macedonia,2000,,,0.0
North Macedonia,2001,,,0.0
North Macedonia,2002,,,0.0
North Macedonia,2003,,,0.0
North Macedonia,2004,,,0.0
North Macedonia,2005,,,0.0
North Macedonia,2006,,,0.0
North Macedonia,2007,,,0.0
North Macedonia,2008,0.0,e,0.0
North Macedonia,2009,,,0.0
North Macedonia,2010,,,0.0
North Macedonia,2011,0.0,,0.0
North Macedonia,2012,,,0.0
North Macedonia,2013,,,0.0
North Macedonia,2014,,,0.0
North Macedonia,2015,,,0.0
North Macedonia,2016,,,0.0
North Macedonia,2017,,,0.0
North Macedonia,2018,,,0.0
North Macedonia,2019,,,0.0
North Macedonia,2020,,,0.0
North Macedonia,2021,,,0.0
North Macedonia,2022,0.0,e,0.0
North Macedonia,2023,0.0,e,0.0
Malta,2000,9.6,,9.6
Malta,2001,9.0,,9.0
Malta,2002,4.7,,4.7
Malta,2003,6.5,,6.5
Malta,2004,6.3,,6.3
Malta,2005,9.1,,9.1
Malta,2006,13.7,,13.7
Malta,2007,4.7,,4.7
Malta,2008,5.0,,5.0
Malta,2009,6.9,,6.9
Malta,2010,8.9,,8.9
Malta,2011,15.4,,15.4
Malta,2012,14.8,,14.8
Malta,2013,12.5,,12.5
Malta,2014,11.7,,11.7
Malta,2015,10.9,,10.9
Malta,2016,12.7,,12.7
Malta,2017,11.5,,11.5
Malta,2018,10.4,,10.4
Malta,2019,9.1,,9.1
Malta,2020,10.9,,10.9
Malta,2021,13.6,,13.6
Malta,2022,12.5,,12.5
Malta,2023,17.4,,17.4
Netherlands,2000,44.1,,44.1
Netherlands,2001,43.7,,43.7
Netherlands,2002,45.3,,45.3
Netherlands,2003,45.6,,45.6
Netherlands,2004,46.9,,46.9
Netherlands,2005,46.7,,46.7
Netherlands,2006,46.8,,46.8
Netherlands,2007,48.3,,48.3
Netherlands,2008,48.4,b,48.4
Netherlands,2009,49.1,,49.1
Netherlands,2010,49.2,,49.2
Netherlands,2011,49.1,,49.1
Netherlands,2012,49.4,,49.4
Netherlands,2013,49.8,,49.8
Netherlands,2014,50.9,,50.9
Netherlands,2015,51.8,,51.8
Netherlands,2016,53.5,,53.5
Netherlands,2017,54.6,,54.6
Netherlands,2018,55.9,,55.9
Netherlands,2019,56.9,,56.9
Netherlands,2020,57.0,,57.0
Netherlands,2021,57.8,,57.8
Netherlands,2022,57.6,p,57.6
Netherlands,2023,58.4,,58.4
Norway,2000,30.6,,30.6
Norway,2001,44.4,b,44.4
Norway,2002,45.3,,45.3
Norway,2003,45.8,,45.8
Norway,2004,36.5,,36.5
Norway,2005,39.3,,39.3
Norway,2006,40.3,,40.3
Norway,2007,42.6,,42.6
Norway,2008,43.6,,43.6
Norway,2009,43.0,,43.0
Norway,2010,42.1,,42.1
Norway,2011,39.9,,39.9
Norway,2012,39.8,,39.8
Norway,2013,39.2,,39.2
Norway,2014,42.2,b,42.2
Norway,2015,42.8,,42.8
Norway,2016,38.2,b,38.2
Norway,2017,38.8,,38.8
Norway,2018,40.7,,40.7
Norway,2019,40.9,,40.9
Norway,2020,45.0,b,45.0
Norway,2021,38.2,,38.2
Norway,2022,41.2,,41.2
Norway,2023,41.7,,41.7
Poland,2000,2.1,,2.1
Poland,2001,4.1,,4.1
Poland,2002,3.1,,3.1
Poland,2003,2.8,,2.8
Poland,2004,4.9,,4.9
Poland,2005,5.6,be,5.6
Poland,2006,6.9,e,6.9
Poland,2007,7.7,e,7.7
Poland,2008,10.5,e,10.5
Poland,2009,13.2,be,13.2
Poland,2010,16.3,e,16.3
Poland,2011,11.4,e,11.4
Poland,2012,12.0,e,12.0
Poland,2013,15.1,be,15.1
Poland,2014,26.5,be,26.5
Poland,2015,32.5,e,32.5
Poland,2016,34.8,e,34.8
Poland,2017,33.8,e,33.8
Poland,2018,34.3,e,34.3
Poland,2019,34.1,e,34.1
Poland,2020,38.7,,38.7
Poland,2021,40.3,,40.3
Poland,2022,40.9,,40.9
Poland,2023,27.6,b,27.6
Portugal,2000,10.5,,10.5
Portugal,2001,11.9,,11.9
Portugal,2002,7.6,b,7.6
Portugal,2003,10.9,,10.9
Portugal,2004,13.5,,13.5
Portugal,2005,15.2,,15.2
Portugal,2006,15.9,,15.9
Portugal,2007,17.1,b,17.1
Portugal,2008,17.3,,17.3
Portugal,2009,19.5,,19.5
Portugal,2010,18.7,,18.7
Portugal,2011,20.1,,20.1
Portugal,2012,26.1,,26.1
Portugal,2013,25.8,,25.8
Portugal,2014,30.4,,30.4
Portugal,2015,29.8,b,29.8
Portugal,2016,30.9,,30.9
Portugal,2017,29.1,,29.1
Portugal,2018,29.1,,29.1
Portugal,2019,28.9,,28.9
Portugal,2020,26.8,,26.8
Portugal,2021,30.4,,30.4
Portugal,2022,30.2,,30.2
Portugal,2023,30.6,,30.6
Romania,2000,0.0,e,0.0
Romania,2001,1.6,e,1.6
Romania,2002,2.0,e,2.0
Romania,2003,0.2,be,0.2
Romania,2004,1.1,e,1.1
Romania,2005,1.8,e,1.8
Romania,2006,0.5,e,0.5
Romania,2007,0.5,e,0.5
Romania,2008,0.9,e,0.9
Romania,2009,1.1,e,1.1
Romania,2010,12.8,b,12.8
Romania,2011,11.7,,11.7
Romania,2012,14.8,,14.8
Romania,2013,13.2,,13.2
Romania,2014,13.1,,13.1
Romania,2015,13.3,,13.3
Romania,2016,13.4,,13.4
Romania,2017,14.0,,14.0
Romania,2018,11.1,,11.1
Romania,2019,11.5,,11.5
Romania,2020,12.2,,12.2
Romania,2021,12.3,,12.3
Romania,2022,12.3,,12.3
Romania,2023,12.4,,12.4
Serbia,2000,,,0.0
Serbia,2001,,,0.0
Serbia,2002,,,0.0
Serbia,2003,,,0.0
Serbia,2004,,,0.0
Serbia,2005,,,0.0
Serbia,2006,0.0,,0.0
Serbia,2007,0.0,,0.0
Serbia,2008,0.0,,0.0
Serbia,2009,0.0,,0.0
Serbia,2010,0.0,,0.0
Serbia,2011,0.0,,0.0
Serbia,2012,0.0,,0.0
Serbia,2013,1.0,,1.0
Serbia,2014,0.7,,0.7
Serbia,2015,0.8,,0.8
Serbia,2016,0.3,,0.3
Serbia,2017,0.3,,0.3
Serbia,2018,0.3,,0.3
Serbia,2019,0.2,,0.2
Serbia,2020,15.4,,15.4
Serbia,2021,16.8,,16.8
Serbia,2022,17.6,,17.6
Serbia,2023,15.2,,15.2
Sweden,2000,38.5,,38.5
Sweden,2001,39.0,,39.0
Sweden,2002,39.7,,39.7
Sweden,2003,41.3,,41.3
Sweden,2004,43.9,,43.9
Sweden,2005,44.6,,44.6
Sweden,2006,47.7,,47.7
Sweden,2007,46.7,,46.7
Sweden,2008,45.6,,45.6
Sweden,2009,49.2,,49.2
Sweden,2010,47.8,,47.8
Sweden,2011,47.0,,47.0
Sweden,2012,46.9,,46.9
Sweden,2013,48.2,,48.2
